TYPE,STATE,AREANAME,Housing,Food,Child care,Transportation,Health care,Other Necessities,Taxes,Monthly Total,Annual Total
1P1C,CA,"Bakersfield, CA MSA",$804,$369,$720,$480,$910,$300,$434,"$4,016","$48,198"
1P1C,CA,"Chico, CA MSA",$878,$369,$720,$459,$910,$319,$442,"$4,097","$49,166"
1P1C,CA,"El Centro, CA MSA",$822,$369,$720,$459,$910,$305,$413,"$3,998","$47,981"
1P1C,CA,"Fresno, CA MSA",$878,$369,$720,$480,$910,$319,$449,"$4,125","$49,494"
1P1C,CA,"Hanford-Corcoran, CA MSA",$778,$369,$720,$459,$910,$294,$398,"$3,928","$47,131"
1P1C,CA,"Los Angeles-Long Beach, CA HUD Metro FMR Area","$1,421",$369,$720,$450,"$1,009",$458,$658,"$5,084","$61,011"
1P1C,CA,"Madera, CA MSA",$861,$369,$720,$459,$910,$315,$432,"$4,066","$48,793"
1P1C,CA,"Merced, CA MSA",$772,$369,$720,$480,$910,$292,$402,"$3,945","$47,337"
1P1C,CA,"Modesto, CA MSA",$941,$369,$720,$480,$910,$335,$473,"$4,228","$50,735"
1P1C,CA,"Napa, CA MSA","$1,302",$369,$720,$459,$910,$428,$609,"$4,797","$57,558"
1P1C,CA,"Oakland-Fremont, CA HUD Metro FMR Area","$1,361",$369,$720,$480,"$1,135",$443,$657,"$5,164","$61,968"
1P1C,CA,"Orange County, CA HUD Metro FMR Area","$1,621",$369,$720,$480,$949,$509,$761,"$5,409","$64,912"
1P1C,CA,"Oxnard-Thousand Oaks-Ventura, CA MSA","$1,499",$369,$720,$480,$910,$478,$697,"$5,153","$61,833"
1P1C,CA,"Redding, CA MSA",$949,$369,$720,$459,$910,$337,$481,"$4,225","$50,705"
1P1C,CA,"Riverside-San Bernardino-Ontario, CA MSA","$1,116",$369,$720,$480,$972,$380,$536,"$4,572","$54,864"
1P1C,CA,Rural,$899,$369,$656,$570,$949,$325,$473,"$4,242","$50,900"
1P1C,CA,"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area","$1,073",$369,$720,$480,"$1,036",$369,$523,"$4,570","$54,838"
